name;path
MSTechnics;DC=mstechnics,DC=be
MSTechnics - Users;OU=MSTechnics,DC=mstechnics,DC=be
MSTechnics - Computers;OU=MSTechnics,DC=mstechnics,DC=be
MSTechnics - Security Groups;OU=MSTechnics,DC=mstechnics,DC=be
MSTechnics - Administrators;OU=MSTechnics,DC=mstechnics,DC=be
Marketing;OU=MSTechnics - Users,OU=MSTechnics,DC=mstechnics,DC=be
HR;OU=MSTechnics - Users,OU=MSTechnics,DC=mstechnics,DC=be
IT;OU=MSTechnics - Users,OU=MSTechnics,DC=mstechnics,DC=be
Accounting;OU=MSTechnics - Users,OU=MSTechnics,DC=mstechnics,DC=be
Management;OU=MSTechnics - Users,OU=MSTechnics,DC=mstechnics,DC=be
Servers;OU=MSTechnics - Computers,OU=MSTechnics,DC=mstechnics,DC=be
AVD;OU=MSTechnics - Computers,OU=MSTechnics,DC=mstechnics,DC=be
