name;path
VanRoey;DC=demomarch,DC=be
VanRoey - Users;OU=VanRoey,DC=demomarch,DC=be
VanRoey - Computers;OU=VanRoey,DC=demomarch,DC=be
VanRoey - Security Groups;OU=VanRoey,DC=demomarch,DC=be
Marketing;OU=VanRoey - Users,OU=VanRoey,DC=demomarch,DC=be
HR;OU=VanRoey - Users,OU=VanRoey,DC=demomarch,DC=be
IT;OU=VanRoey - Users,OU=VanRoey,DC=demomarch,DC=be
Accounting;OU=VanRoey - Users,OU=VanRoey,DC=demomarch,DC=be
Management;OU=VanRoey - Users,OU=VanRoey,DC=demomarch,DC=be
Servers;OU=VanRoey - Computers,OU=VanRoey,DC=demomarch,DC=be
AVD;OU=VanRoey - Computers,OU=VanRoey,DC=demomarch,DC=be
